Date,Median Sales Price for New Houses Sold in the United States ($),Iflation,Unemployment Rate,Mortgage Rate (%),HPSI (consumer confidence),raw material price (lumber),"Real Disposable Personal Income ($,Per Capita)",New House Inventory,S&P 500 Index
2012-01-01,221700,2.9,8.3,3.92,66.2,,39253,,
2012-02-01,239900,2.9,8.3,3.89,66.3,,39466,,
2012-03-01,239800,2.7,8.2,3.95,66.2,260.483,39590,,
2012-04-01,236400,2.3,8.2,3.91,68.2,268.471,39744,,
2012-05-01,239200,1.7,8.2,3.8,69.3,289.473,39731,,
2012-06-01,232600,1.7,8.2,3.68,68.5,277.405,39681,,
2012-07-01,237400,1.4,8.2,3.55,69.5,285.952,39380,,1359.78
2012-08-01,253200,1.7,8.1,3.6,68,295.035,39248,,1403.44
2012-09-01,254600,2,7.8,3.5,71.8,279.621,39501,,1443.42
2012-10-01,247200,2.2,7.8,3.38,72.3,292.43,39743,,1437.82
2012-11-01,245000,1.8,7.7,3.35,71.7,324.052,40238,,1394.51
2012-12-01,258300,1.7,7.9,3.35,72.8,356.81,41192,,1422.29
2013-01-01,251500,1.6,8.0,3.41,73.5,364.757,38789,,1480.4
2013-02-01,265100,2,7.7,3.53,73.7,381.989,38663,,1512.31
2013-03-01,257500,1.5,7.5,3.57,74.2,389.267,38760,,1550.83
2013-04-01,279300,1.1,7.6,3.45,77.3,365.573,38855,,1570.7
2013-05-01,263700,1.4,7.5,3.54,82.2,317.455,39019,,1639.84
2013-06-01,259800,1.8,7.5,4.07,79.3,295.07,39004,,1618.77
2013-07-01,262200,2,7.3,4.37,77.7,313.073,38942,,1668.68
2013-08-01,255300,1.5,7.2,4.46,78.3,312.718,39003,,1670.09
2013-09-01,269800,1.2,7.2,4.49,78.3,340.355,39137,,1687.17
2013-10-01,264300,1,7.2,4.19,72.5,346.048,38995,,1720.03
2013-11-01,277100,1.2,6.9,4.26,72.8,365.25,39067,,1783.54
2013-12-01,275500,1.5,6.7,4.46,72.7,361.462,39125,,1807.78
2014-01-01,269800,1.6,6.6,4.43,76.5,359.333,39292,,1822.36
2014-02-01,268400,1.1,6.7,4.3,75,357.253,39478,,1817.03
2014-03-01,282300,1.5,6.7,4.34,77.7,345.21,39672,,1863.52
2014-04-01,274500,2,6.2,4.34,82.7,332.114,39806,,1864.26
2014-05-01,285600,2.1,6.3,4.19,81.5,327.686,39925,,1889.77
2014-06-01,287000,2.1,6.1,4.16,79.8,316.571,40062,,1947.09
2014-07-01,280400,2,6.2,4.13,79,331.327,40151,,1973.1
2014-08-01,291700,1.7,6.1,4.12,75.5,344.976,40311,,1961.53
2014-09-01,261500,1.7,5.9,4.16,80.2,337.377,40413,,1993.23
2014-10-01,297000,1.7,5.7,4.04,82.5,336.596,40559,,1937.27
2014-11-01,298300,1.3,5.8,4,81,326.1,40743,,2044.57
2014-12-01,301500,0.8,5.6,3.86,81.3,335.805,40991,,2054.27
2015-01-01,292000,-0.1,5.7,3.67,82.8,317.73,41199,,2028.18
2015-02-01,286600,0,5.5,3.71,81.5,307.095,41324,,2082.2
2015-03-01,286600,-0.1,5.4,3.77,81.7,282.286,41182,,2079.99
2015-04-01,294500,-0.2,5.4,3.67,82.3,259.886,41248,,2094.86
2015-05-01,287500,0,5.6,3.84,84.3,255.465,41290,,2111.94
2015-06-01,285100,0.1,5.3,3.98,84.7,289.559,41288,,2099.28
2015-07-01,292300,0.2,5.2,4.05,81.3,275.478,41355,,2094.14
2015-08-01,293000,0.2,5.1,3.91,80.8,251.219,41420,,2039.87
2015-09-01,299500,0,5.0,3.89,83.8,231.681,41504,,1944.4
2015-10-01,298000,0.2,5.0,3.8,83.2,249.755,41560,,2024.81
2015-11-01,312600,0.5,5.1,3.94,80.8,248.105,41526,,2080.62
2015-12-01,297100,0.7,5.0,3.96,83.2,259.173,41699,,2054.08
2016-01-01,288400,1.4,4.8,3.87,81.5,247.858,41827,,1918.6
2016-02-01,305800,1,4.9,3.66,82.7,253.345,41850,,1904.42
2016-03-01,303200,0.9,5.0,3.69,80.2,289.768,41829,,2021.95
2016-04-01,318300,1.1,5.1,3.61,83.7,289.386,41727,,2075.54
2016-05-01,295200,1,4.8,3.6,85.3,303.92,41680,,2065.55
2016-06-01,311200,1,4.9,3.57,83.2,299.795,41672,,2083.89
2016-07-01,297400,0.8,4.8,3.44,86.5,321.475,41784,,2148.9
2016-08-01,298900,1.1,4.9,3.44,85,320.352,41791,,2177.48
2016-09-01,314800,1.5,5.0,3.46,82.8,314.286,41852,,2157.69
2016-10-01,302800,1.6,4.9,3.47,81.7,319.986,41884,,2143.02
